customer_ID,phone_services,multiple_lines,internet_services,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,total_services
0274-JKUJR,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,6
5740-YHGTW,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,6
8917-SZTTJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1696-MZVAU,No,No phone service,DSL,No,No,No,No,No,No,1
7359-WWYJV,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
0375-HVGXO,No,No phone service,DSL,No,No,No,No,Yes,No,2
4906-ZHGPK,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,6
8593-WHYHV,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
3795-GWTRD,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,7
1298-PHBTI,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,5
6223-DHJGV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6961-MJKBO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6097-EQISJ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
4423-YLHDV,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7
8158-WPEZG,No,No phone service,DSL,No,Yes,No,Yes,No,No,3
0107-YHINA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
4918-FYJNT,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,6
0727-BNRLG,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,7
4854-CIDCF,Yes,No,Fiber optic,No,No,Yes,No,No,No,3
8640-SDGKB,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,6
3280-MRDOF,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,6
6435-SRWBJ,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,5
9964-WBQDJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
6303-KFWSL,Yes,Yes,DSL,No,Yes,No,No,No,No,4
1702-CCFNJ,Yes,Yes,DSL,No,Yes,No,Yes,No,No,5
8932-CZHRQ,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,7
0386-CWRGM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
5515-RUGKN,Yes,No,DSL,No,No,No,No,No,Yes,3
0404-AHASP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7279-NMVJC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2081-VEYEH,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,7
6407-UTSLV,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,4
4116-TZAQJ,Yes,No,Fiber optic,Yes,No,No,No,No,No,3
9060-HJJRW,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,5
2587-YNLES,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7398-SKNQZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
5935-FCCNB,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
1958-RNRKS,Yes,Yes,DSL,No,No,No,No,No,No,3
5136-RGMZO,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,6
8345-MVDYC,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,7
8226-BXGES,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,6
3877-JRJIP,Yes,Yes,DSL,No,No,No,No,Yes,No,4
8375-DKEBR,Yes,No,Fiber optic,No,No,No,No,No,No,2
9705-IOVQQ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
1015-OWJKI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7511-YMXVQ,No,No phone service,DSL,No,No,No,No,Yes,Yes,3
2040-XBAVJ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
7551-JOHTI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
8887-IPQNC,Yes,No,DSL,No,No,No,No,No,No,2
8646-JCOMS,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,6
9804-ICWBG,Yes,No,Fiber optic,No,No,No,No,No,No,2
1222-KJNZD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0106-GHRQR,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,6
5318-IXUZF,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,4
3768-VHXQO,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
8952-WCVCD,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,7
2418-TPEUN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3963-RYFNS,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
3198-VELRD,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
8540-ZQGEA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1320-REHCS,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8
4137-JOPHL,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,5
9436-ZBZCT,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,5
7801-CEDNV,Yes,No,DSL,Yes,No,No,No,No,No,3
2057-BOYKM,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,7
3658-QQJYD,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,6
1803-BGNBD,Yes,No,DSL,No,Yes,No,Yes,No,No,4
0134-XWXCE,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,6
6950-TWMYB,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,4
5848-FHRFC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2243-FNMMI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2511-MORQY,Yes,Yes,DSL,No,No,Yes,No,No,No,4
5356-KZCKT,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
9470-XCCEM,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,5
6519-CFDBX,Yes,No,DSL,No,No,No,No,No,No,2
3902-MIVLE,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,7
0409-WTMPL,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8
8763-KIAFH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3669-WHAFY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
3055-VTCGS,Yes,No,DSL,No,No,Yes,No,No,Yes,4
3144-KMTWZ,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,6
7279-BUYWN,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8
7156-MHUGY,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4
7198-GLXTC,Yes,No,Fiber optic,No,No,No,No,Yes,No,3
2007-QVGAW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
5207-PLSTK,Yes,No,DSL,Yes,No,No,No,No,No,3
2307-FYNNL,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,8
5605-XNWEN,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
2155-AMQRX,Yes,Yes,DSL,No,No,No,Yes,No,No,4
6181-AXXYF,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
5091-HFAZW,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,5
0516-VRYBW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2519-LBNQL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7
8623-ULFNQ,Yes,Yes,DSL,No,No,No,Yes,No,Yes,5
8380-PEFPE,Yes,No,Fiber optic,No,No,No,No,No,No,2
5687-DKDTV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1568-LJSZU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
7530-HDYDS,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,5
7789-HKSBS,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7
7416-CKTEP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2586-CWXVV,No,No phone service,DSL,No,Yes,No,No,No,No,2
3096-IZETN,Yes,No,Fiber optic,No,No,No,No,No,Yes,3
2348-KCJLT,Yes,No,DSL,Yes,Yes,Yes,No,No,No,5
8401-EMUWF,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,6
4193-IBKSW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
5377-NDTOU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
5922-ABDVO,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,5
2474-LCNUE,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,6
0839-QNXME,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3506-OVLKD,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
9172-ANCRX,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,6
6650-VJONK,Yes,No,DSL,No,No,No,No,No,No,2
2178-PMGCJ,Yes,No,Fiber optic,No,No,No,No,No,No,2
7492-TAFJD,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,4
2773-MADBQ,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,6
6016-LVTJQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7860-KSUGX,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,6
8966-KZXXA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
6910-HADCM,Yes,No,Fiber optic,No,No,Yes,No,No,No,3
4816-LXZYW,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4
9606-PBKBQ,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
5149-QYTTU,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,7
2070-XYMFH,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,4
2085-BOJKI,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5
0817-HSUSE,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,6
5442-PPTJY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1927-QEWMY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1663-MHLHE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
5663-QBGIS,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
4450-MDZFX,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
6701-DHKWQ,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,5
7554-AKDQF,Yes,No,DSL,No,No,No,No,No,No,2
3536-IQCTX,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
4911-BANWH,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4
8496-EJAUI,Yes,No,Fiber optic,No,Yes,No,No,No,No,3
0794-YVSGE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
5423-BHIXO,Yes,Yes,DSL,No,Yes,No,No,No,No,4
6908-VVYHM,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5
2959-EEXWB,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,4
1839-UMACK,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
3030-YDNRM,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
7321-KKSDU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3402-XRIUO,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,6
3132-TVFDZ,No,No phone service,DSL,No,No,No,No,Yes,Yes,3
8286-AFUYI,Yes,No,DSL,Yes,No,No,No,No,No,3
8080-DDEMJ,Yes,No,DSL,No,No,No,No,No,No,2
8356-WUAOJ,Yes,No,DSL,No,No,No,No,No,No,2
6365-MTGZX,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,5
1349-WXNGG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
8058-DMYRU,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5
9350-ZXYJC,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
6990-YNRIO,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,8
8958-JPTRR,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
6959-GQEGV,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,6
3173-WSSUE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1265-HVPZB,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,6
4115-UMJFQ,No,No phone service,DSL,No,Yes,Yes,No,No,No,3
7369-TRPFD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1098-KFQEC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7190-XHTWJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0621-TWIEM,Yes,No,DSL,No,No,No,No,No,No,2
3537-RYBHH,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,6
2485-ITVKB,No,No phone service,DSL,No,No,No,No,No,Yes,2
3669-OYSJI,Yes,No,DSL,No,No,No,No,No,No,2
1612-EOHDH,Yes,No,DSL,No,No,No,No,No,No,2
6702-OHFWR,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,4
5296-BFCYD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4510-PYUSH,Yes,No,DSL,Yes,Yes,No,No,No,No,4
9359-JANWS,Yes,No,DSL,Yes,No,Yes,Yes,No,No,5
7517-SAWMO,Yes,No,Fiber optic,Yes,No,No,No,No,No,3
4143-HHPMK,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,4
3279-DYZQM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7054-LGEQW,Yes,No,DSL,No,No,No,No,No,No,2
0523-VNGTF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,5
9575-IWCAZ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
7105-MXJLL,Yes,No,DSL,No,No,Yes,No,No,Yes,4
7064-FRRSW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
7940-UQQUG,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,7
0923-PNFUB,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,4
3961-SXAXY,Yes,No,DSL,No,No,No,No,No,No,2
7010-BRBUU,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
3566-HJGPK,Yes,No,DSL,No,No,No,No,No,No,2
3062-ICYZQ,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,6
9938-PRCVK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0973-KYVNF,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,6
5129-HHMZC,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,8
9637-CDTKZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9
3946-JEWRQ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
7873-CVMAW,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
0463-WZZKO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3494-JCHRQ,Yes,No,Fiber optic,No,No,No,No,No,No,2
6474-FVJLC,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
4524-QCSSM,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,4
5832-EXGTT,Yes,No,DSL,Yes,No,No,No,No,Yes,4
8840-DQLGN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,7
2039-JONDJ,Yes,No,DSL,Yes,Yes,No,No,No,No,4
7217-JYHOQ,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,6
6695-FRVEC,Yes,No,DSL,Yes,No,Yes,Yes,No,No,5
4547-LYTDD,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
9894-QMIMJ,Yes,No,DSL,No,Yes,Yes,No,No,No,4
8069-YQQAJ,No,No phone service,DSL,No,Yes,No,No,No,No,2
6770-XUAGN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4193-ORFCL,Yes,No,DSL,No,No,No,No,No,No,2
1636-NTNCO,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,4
3466-WAESX,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,6
9281-PKKZE,No,No phone service,DSL,No,No,No,No,Yes,Yes,3
3638-VBZTA,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,8
7459-IMVYU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,7
7776-QWNFX,Yes,No,DSL,No,Yes,No,No,No,No,3
6689-TCZHQ,Yes,No,Fiber optic,No,No,No,No,No,Yes,3
8563-OYMQY,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,5
0754-EEBDC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
5777-ZPQNC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1951-IEYXM,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
3318-NMQXL,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4
3143-ILDAL,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,6
1022-RKXDR,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2
2361-FJWNO,No,No phone service,DSL,No,Yes,No,Yes,No,No,3
2272-UOINI,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,7
8232-UTFOZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
3750-YHRYO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6637-KYRCV,No,No phone service,DSL,No,Yes,No,No,No,No,2
5668-MEISB,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,8
0129-QMPDR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7188-CBBBA,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,6
5356-CSVSQ,Yes,Yes,DSL,No,No,No,Yes,Yes,No,5
3221-CJMSG,Yes,No,DSL,No,No,No,Yes,No,No,3
4720-VSTSI,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,5
3219-JQRSL,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9
2801-NISEI,Yes,No,DSL,Yes,No,No,Yes,No,No,4
3946-MHCZW,Yes,No,DSL,No,No,Yes,No,No,No,3
4623-ZKHLY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
6732-VAILE,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,8
8201-AAXCB,Yes,Yes,DSL,No,No,No,No,Yes,No,4
7696-CFTAT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1845-CSBRZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4
2123-VSCOT,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,6
6651-AZVTJ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6
4566-GOLUK,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7
2484-DGXPZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2018-QKYGT,Yes,No,Fiber optic,No,No,No,No,No,Yes,3
2792-VPPET,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7409-JURKQ,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8
3247-MHJKM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1964-SVLEA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4587-NUKOX,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,4
7297-DVYGA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
2239-CGBUZ,Yes,No,DSL,Yes,Yes,No,Yes,No,No,5
0854-UYHZD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7243-LCGGZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
8267-KFGYD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4890-VMUAV,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,7
9261-WDCAF,Yes,No,DSL,No,No,No,No,No,Yes,3
3764-MNMOI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7442-YGZFK,Yes,Yes,DSL,No,No,No,No,No,No,3
0420-BWTPW,No,No phone service,DSL,No,No,No,No,No,No,1
8229-BUJHX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7449-HVPIV,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,5
5504-WSIUR,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,6
8183-ONMXC,Yes,No,Fiber optic,No,No,No,No,No,Yes,3
8466-PZBLH,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,7
9614-RMGHA,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,5
8735-IJJEG,Yes,No,DSL,No,No,Yes,No,No,No,3
0564-MUUQK,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,6
5054-IEXZT,Yes,No,Fiber optic,No,Yes,No,No,No,No,3
5834-ASPWA,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
0701-RFGFI,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
0019-EFAEP,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,7
5619-PTMIK,Yes,Yes,DSL,Yes,No,No,No,No,No,4
3737-XBQDD,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,5
5882-CMAZQ,No,No phone service,DSL,No,Yes,No,Yes,No,No,3
5846-QFDFI,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,6
4445-KWOKW,Yes,Yes,DSL,Yes,Yes,No,No,No,No,5
3511-APPBJ,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,6
7967-HYCDE,Yes,No,Fiber optic,No,No,No,No,No,No,2
2430-RRYUW,Yes,No,DSL,Yes,Yes,No,No,No,No,4
3948-XHGNA,Yes,No,DSL,Yes,No,No,No,No,No,3
3723-BFBGR,Yes,Yes,DSL,No,Yes,No,No,No,No,4
0565-IYCGT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,8
5447-WZAFP,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,6
5110-CHOPY,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,5
5445-UTODQ,Yes,No,Fiber optic,No,No,No,No,Yes,No,3
4425-OWHWB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7892-QVYKW,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4
9675-ICXCT,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,7
1024-VRZHF,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
4703-MQYKT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
9497-QCMMS,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5
5692-ICXLW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,5
0602-DDUML,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,6
2208-MPXIO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
1960-UYCNN,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,6
0348-SDKOL,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7
3190-FZATL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
7336-RLLRH,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,7
4373-MAVJG,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5
8901-HJXTF,No,No phone service,DSL,No,Yes,No,No,No,No,2
7710-JSYOA,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,6
5419-KLXBN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,5
3424-NMNBO,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8
9885-MFVSU,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,4
4514-GFCFI,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4
0607-MVMGC,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,7
3365-SAIGS,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,4
9828-AOQLM,Yes,No,DSL,No,No,No,No,No,No,2
8022-BECSI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
8000-REIQB,Yes,No,Fiber optic,No,No,No,No,No,No,2
9993-LHIEB,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,6
0266-CLZKZ,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7
7615-ESMYF,No,No phone service,DSL,No,No,No,No,Yes,Yes,3
3858-VOBET,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
7020-OZKXZ,Yes,No,Fiber optic,No,No,Yes,No,No,No,3
3977-QCRSL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
0017-DINOC,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,4
1447-PJGGA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5
8565-CLBZW,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,5
9139-WQQDY,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6
0224-HJAPT,Yes,Yes,DSL,No,No,No,No,No,No,3
8086-OVPWV,Yes,No,Fiber optic,No,No,No,No,No,Yes,3
9430-FRQOC,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,5
7639-OPLNG,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,8
3074-GQWYX,Yes,Yes,Fiber optic,No,No,No,No,No,No,3
1492-QGCLU,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,8
6845-RGTYS,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,7
7328-OWMOM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
4418-LZMSV,Yes,No,DSL,No,Yes,Yes,Yes,No,No,5
5155-AZQPB,Yes,Yes,DSL,No,No,No,No,No,No,3
